video_name,source_video,platform,license,link,link_type,drive_link,note
angry_029.mp4,IMG_8100.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1xHORGOtW9a7dakR9bE5F7aiOZYp81CB6/view,kopia_drive,https://drive.google.com/file/d/1xHORGOtW9a7dakR9bE5F7aiOZYp81CB6/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_030.mp4,IMG_8101.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1WJB4-8QwbuW_ZFawVQLOAFWq4WiOtq3M/view,kopia_drive,https://drive.google.com/file/d/1WJB4-8QwbuW_ZFawVQLOAFWq4WiOtq3M/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_031.mp4,IMG_8102.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1ox4P4dcZNPpjd1BU3pg34bUtrdRvt8ug/view,kopia_drive,https://drive.google.com/file/d/1ox4P4dcZNPpjd1BU3pg34bUtrdRvt8ug/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_032.mp4,IMG_8103.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1vp7_YsmsSI15w8T20RAdB96vQdbfKW8g/view,kopia_drive,https://drive.google.com/file/d/1vp7_YsmsSI15w8T20RAdB96vQdbfKW8g/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_033.mp4,IMG_8104.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1TRB4DClb_PqaBB6upCZqB_J3254RiH9S/view,kopia_drive,https://drive.google.com/file/d/1TRB4DClb_PqaBB6upCZqB_J3254RiH9S/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_034.mp4,IMG_8105.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1eP7xXCKa89k8kEAjAX-IQCJMY_AjIIhL/view,kopia_drive,https://drive.google.com/file/d/1eP7xXCKa89k8kEAjAX-IQCJMY_AjIIhL/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_035.mp4,IMG_8106.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1lsp_a-rSxgmGOk9LtIJ_pjlxhPFZJ_qu/view,kopia_drive,https://drive.google.com/file/d/1lsp_a-rSxgmGOk9LtIJ_pjlxhPFZJ_qu/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_036.mp4,IMG_8107.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1zmnLwK_BlqpV1AuEHR8ymIdJ8ASWh_ls/view,kopia_drive,https://drive.google.com/file/d/1zmnLwK_BlqpV1AuEHR8ymIdJ8ASWh_ls/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_037.mp4,IMG_8108.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/10ZbQ_MtsvANR5oy1XqGAG11UiMqVuOk8/view,kopia_drive,https://drive.google.com/file/d/10ZbQ_MtsvANR5oy1XqGAG11UiMqVuOk8/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_038.mp4,IMG_8109.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1_p8jEv4-PcPB-2Fff6ctzj-1tPL94ylG/view,kopia_drive,https://drive.google.com/file/d/1_p8jEv4-PcPB-2Fff6ctzj-1tPL94ylG/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_039.mp4,IMG_8110.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1IKwPCxqhwEZFjsX6oJeH20wg99F-RUsy/view,kopia_drive,https://drive.google.com/file/d/1IKwPCxqhwEZFjsX6oJeH20wg99F-RUsy/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_040.mp4,IMG_8111.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1dBq_Rtwtj4YOBslOGRdhbyjncepE11xB/view,kopia_drive,https://drive.google.com/file/d/1dBq_Rtwtj4YOBslOGRdhbyjncepE11xB/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_041.mp4,IMG_8112.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1YYP1AD0JtgY0BU9GcDN-efklth0X2zaP/view,kopia_drive,https://drive.google.com/file/d/1YYP1AD0JtgY0BU9GcDN-efklth0X2zaP/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_042.mp4,IMG_8113.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1qAOOHKv1j7gyXavKR52T9pnzUi3lXezG/view,kopia_drive,https://drive.google.com/file/d/1qAOOHKv1j7gyXavKR52T9pnzUi3lXezG/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_043.mp4,IMG_8114.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Urw32PgFa8qLbBU8kk9tY43tlxMgVOI_/view,kopia_drive,https://drive.google.com/file/d/1Urw32PgFa8qLbBU8kk9tY43tlxMgVOI_/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_044.mp4,IMG_8115.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/18ghbRrTOlca2bHqv2XUF0PaGq-yt1Hsy/view,kopia_drive,https://drive.google.com/file/d/18ghbRrTOlca2bHqv2XUF0PaGq-yt1Hsy/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_045.mov,IMG_8116.MOV,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Li9TwJx4lRL3fV9ut6JwR45hvBlYnsSQ/view,kopia_drive,https://drive.google.com/file/d/1Li9TwJx4lRL3fV9ut6JwR45hvBlYnsSQ/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_046.mp4,IMG_8117.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1oQKNE-MeWYUDRnt3vWziXHoQxUus_9Gj/view,kopia_drive,https://drive.google.com/file/d/1oQKNE-MeWYUDRnt3vWziXHoQxUus_9Gj/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_047.mp4,IMG_8118.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1LC-KEpxvo7l9CCuEWcEwF0IzDKpp3YSt/view,kopia_drive,https://drive.google.com/file/d/1LC-KEpxvo7l9CCuEWcEwF0IzDKpp3YSt/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_048.mp4,IMG_8119.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1d7W9RstTo-gYXtW0E57tz3dL38qXtv2L/view,kopia_drive,https://drive.google.com/file/d/1d7W9RstTo-gYXtW0E57tz3dL38qXtv2L/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_049.mp4,IMG_8120.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/13d8wuLh2pTsw87qkQyGrFLhVePZPhCp9/view,kopia_drive,https://drive.google.com/file/d/13d8wuLh2pTsw87qkQyGrFLhVePZPhCp9/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_050.mp4,IMG_8122.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1uLalttqfZHkk39Gy0lbZnNFBAsl2b2EE/view,kopia_drive,https://drive.google.com/file/d/1uLalttqfZHkk39Gy0lbZnNFBAsl2b2EE/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_051.mp4,IMG_8124.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1OTouJlMMFaWNScLTLyVPNmVbJRWXHesO/view,kopia_drive,https://drive.google.com/file/d/1OTouJlMMFaWNScLTLyVPNmVbJRWXHesO/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_052.mp4,IMG_8125.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1TI6HdQnvIFESQUJPeaD8Ksrdd5qbf0fL/view,kopia_drive,https://drive.google.com/file/d/1TI6HdQnvIFESQUJPeaD8Ksrdd5qbf0fL/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_053.mp4,IMG_8126.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1WwNSPZRb-S39-X8FW_55lEimZn2gJB5l/view,kopia_drive,https://drive.google.com/file/d/1WwNSPZRb-S39-X8FW_55lEimZn2gJB5l/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_054.mp4,IMG_8127.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1uKuawzOVToDfv-S7PUAXp9e3vQh_LAW6/view,kopia_drive,https://drive.google.com/file/d/1uKuawzOVToDfv-S7PUAXp9e3vQh_LAW6/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_055.mp4,IMG_8128.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1MXh3j6YKEu1trA8Cdfl8aZ67p7yZUf51/view,kopia_drive,https://drive.google.com/file/d/1MXh3j6YKEu1trA8Cdfl8aZ67p7yZUf51/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_056.mp4,IMG_8129.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1u6zbq8JHPSdj3zjeRGSOB3ni-ELukori/view,kopia_drive,https://drive.google.com/file/d/1u6zbq8JHPSdj3zjeRGSOB3ni-ELukori/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_057.mp4,IMG_8130.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1pMvvnIdwEVvZ3qzTaxMZYvMiU-Cz7kwH/view,kopia_drive,https://drive.google.com/file/d/1pMvvnIdwEVvZ3qzTaxMZYvMiU-Cz7kwH/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_058.mp4,IMG_8131.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1EO7kfWg40W8mgbglqizslMV0fIdGrz7-/view,kopia_drive,https://drive.google.com/file/d/1EO7kfWg40W8mgbglqizslMV0fIdGrz7-/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_059.mp4,IMG_8132.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1Q6b-VTSxdkvzLf9499xDz2FwRBzuh5hF/view,kopia_drive,https://drive.google.com/file/d/1Q6b-VTSxdkvzLf9499xDz2FwRBzuh5hF/view,nagranie z telefonu (IMG/VID) - brak zrodla online
angry_060.mp4,IMG_8133.MP4,inne/lokalne,fragment badawczy <25% utworu,https://drive.google.com/file/d/1I6qfyrgiJr-ukWhB5c4r3ivBfLNB_oH4/view,kopia_drive,https://drive.google.com/file/d/1I6qfyrgiJr-ukWhB5c4r3ivBfLNB_oH4/view,nagranie z telefonu (IMG/VID) - brak zrodla online
